Sentence	Word	BIOES-Tag	English-version (translation)	
Sentence 1	O‘zbekiston	B-LOC	Uzbekistan	
Sentence 1	Respublikasi	E-LOC	Republic	
Sentence 1	Prezidentining	S-PER	President's	
Sentence 1	2023	O	2023	
Sentence 1	yil	O	year	
Sentence 1	25	O	25	
Sentence 1	yanvardagi	O	January	
Sentence 1	Respublika	S-LOC	Republic	
Sentence 1	ijro	O	execution	
Sentence 1	etuvchi	O	executive	
Sentence 1	hokimiyat	B-ORG	authority	
Sentence 1	organlari	E-ORG	bodies	
Sentence 1	faoliyatini	O	activities	
Sentence 1	samarali	O	effective	
Sentence 1	yo‘lga	O	setting up	
Sentence 1	qo‘yishga	O	establishing	
Sentence 1	doir	O	related to	
Sentence 1	birinchi	O	first	
Sentence 1	navbatdagi	O	priority	
Sentence 1	tashkiliy	O	organizational	
Sentence 1	chora	O	measure	
Sentence 1	tadbirlar	O	actions	
Sentence 1	to‘g‘risida	O	about	
Sentence 1	gi	O	-	
Sentence 1	PF	O	PD	
Sentence 1	14	O	14	
Sentence 1	son	O	number	
Sentence 1	ijrosini	O	implementation	
Sentence 1	ta’minlash	O	ensuring	
Sentence 1	maqsadida	O	purpose	
Sentence 1	Oliy	B-ORG	Higher	
Sentence 1	ta’lim	I-ORG	education	
Sentence 1	fan	I-ORG	science	
Sentence 1	va	I-ORG	and	
Sentence 1	innovatsiyalar	I-ORG	innovations	
Sentence 1	vazirligi	E-ORG	ministry	
Sentence 1	faoliyatining	O	activities	
Sentence 1	ustuvor	O	priority	
Sentence 1	yo‘nalishlari	O	directions	
Sentence 1	muvofiq	O	accordingly	
Sentence 1	tasdiqlansin	O	be approved	
Sentence 2	Oliy	B-ORG	Higher	
Sentence 2	ta’lim	I-ORG	education	
Sentence 2	fan	I-ORG	science	
Sentence 2	va	I-ORG	and	
Sentence 2	innovatsiyalar	I-ORG	innovations	
Sentence 2	vazirligi	E-ORG	ministry	
Sentence 2	tizimidagi	O	system's	
Sentence 2	tashkilotlarni	S-ORG	organizations	
Sentence 2	qayta	O	re	
Sentence 2	tashkil	O	organization	
Sentence 2	qilish	O	program	
Sentence 2	dasturi	O	accordingly	
Sentence 2	muvofiq	O	be	
Sentence 2	tasdiqlansin	O	approved	
Sentence 3	Oliy	B-ORG	Higher	
Sentence 3	ta’lim	I-ORG	education	
Sentence 3	fan	I-ORG	science	
Sentence 3	va	I-ORG	and	
Sentence 3	innovatsiyalar	I-ORG	innovations	
Sentence 3	vazirligining	E-ORG	ministry's	
Sentence 3	tashkiliy	O	organizational	
Sentence 3	tuzilmasi	O	structure	
Sentence 3	muvofiq	O	accordingly	
Sentence 3	tasdiqlansin	O	be approved	
Sentence 4	Buxoro	B-LOC	Bukhara	
Sentence 4	viloyatidagi	E-LOC	region's	
Sentence 4	Innovatsion	B-ORG	Innovative	
Sentence 4	rivojlanish	I-ORG	development	
Sentence 4	agentligining	E-ORG	agency's	
Sentence 4	tashkiliy	O	organizational	
Sentence 4	tuzilmasi	O	structure	
Sentence 4	muvofiq	O	accordingly	
Sentence 4	tasdiqlansin	O	be approved	
Sentence 4	Bilim	O	Knowledge	
Sentence 4	va	O	and	
Sentence 4	Innovatsion	B-ORG	Innovative	
Sentence 4	rivojlanish	I-ORG	development	
Sentence 4	agentligining	E-ORG	agency's	
Sentence 4	tashkiliy	O	organizational	
Sentence 4	tuzilmasi	O	structure	
Sentence 4	muvofiq	O	accordingly	
Sentence 4	tasdiqlansin	O	be approved	
Sentence 5	Namangan	B-LOC	Namangan	
Sentence 5	viloyatidagi	E-LOC	region's	
Sentence 5	Oliy	B-ORG	Higher	
Sentence 5	ta’lim	I-ORG	education	
Sentence 5	fan	I-ORG	science	
Sentence 5	va	I-ORG	and	
Sentence 5	innovatsiyalar	I-ORG	innovations	
Sentence 5	vazirligi	E-ORG	ministry's	
Sentence 5	sohasini	O	field's	
Sentence 5	transformatsiya	O	transformation	
Sentence 5	qilish	O	doing	
Sentence 5	jarayonlarini	O	processes	
Sentence 5	jadallashtirish	O	acceleration	
Sentence 5	bo‘yicha	O	regarding	
Sentence 5	yo‘l	O	road	
Sentence 5	xaritasi	O	map	
Sentence 5	muvofiq	O	accordingly	
Sentence 5	tasdiqlansin	O	be approved	
Sentence 6	Farg'ona	B-LOC	Fergana	
Sentence 6	viloyatidagi	E-LOC	region's	
Sentence 6	Oliy	B-ORG	Higher	
Sentence 6	ta’lim	I-ORG	education	
Sentence 6	muassasalari	E-ORG	institutions	
Sentence 6	tizimini	O	system	
Sentence 6	xalqaro	O	international	
Sentence 6	standartlarga	O	standards	
Sentence 6	muvofiq	O	accordingly	
Sentence 6	takomillashtirish	O	improvement	
Sentence 6	va	O	and	
Sentence 6	ta’lim	O	education	
Sentence 6	sifatini	O	quality	
Sentence 6	oshirish	O	increase	
Sentence 6	maqsadida	O	with the aim of	
Sentence 6	bakalavriat	O	bachelor's	
Sentence 6	ta’lim	O	education	
Sentence 6	yo‘nalishlari	O	directions	
Sentence 6	va	O	and	
Sentence 6	magistratura	O	master's	
Sentence 6	mutaxassisliklari	O	specialties	
Sentence 6	ilg‘or	O	advanced	
Sentence 6	xorijiy	O	foreign	
Sentence 6	tajriba	O	experience	
Sentence 6	hamda	O	as well as	
Sentence 6	iqtisodiyot	O	economy	
Sentence 6	soha	O	sector	
Sentence 6	va	O	and	
Sentence 6	tarmoqlarining	O	branches'	
Sentence 6	kadrlarga	O	personnel	
Sentence 6	bo‘lgan	O	needs	
Sentence 6	ehtiyoji	O	based on	
Sentence 6	asosida	O	re-	
Sentence 6	qayta	O	considered	
Sentence 6	ko‘rib	O	will	
Sentence 6	chiqiladi	O	be	
Sentence 7	Jizzax	B-LOC	Jizzakh	
Sentence 7	viloyatidagi	E-LOC	region's	
Sentence 7	Oliy	O	Higher	
Sentence 7	ta’lim	O	education	
Sentence 7	dasturlari	O	programs	
Sentence 7	yetakchi	O	leading	
Sentence 7	oliy	B-ORG	higher	
Sentence 7	ta’lim	I-ORG	education	
Sentence 7	muassasalari	E-ORG	institutions'	
Sentence 7	bazasida	O	basis	
Sentence 7	xalqaro	O	international	
Sentence 7	tashkilotlarning	S-ORG	organizations'	
Sentence 7	ta’lim	O	education	
Sentence 7	sohalari	O	fields	
Sentence 7	reytingida	O	ratings	
Sentence 7	yuqori	O	top	
Sentence 7	200	O	200	
Sentence 7	talik	O	list	
Sentence 7	ro‘yxatiga	O	included	
Sentence 7	kirgan	O	foreign	
Sentence 7	xorijiy	O	higher	
Sentence 7	oliy	B-ORG	education	
Sentence 7	ta’lim	I-ORG	institutions'	
Sentence 7	muassasalarining	E-ORG	programs	
Sentence 7	dasturi	O	based on	
Sentence 7	asosida	O	re-	
Sentence 7	qayta	O	developed	
Sentence 7	ishlab	O	will	
Sentence 7	chiqiladi	O	be	
Sentence 8	Samarqand	B-LOC	Samarkand	
Sentence 8	viloyatidagi	E-LOC	region's	
Sentence 8	Oliy	B-ORG	Higher	
Sentence 8	ta’lim	I-ORG	education	
Sentence 8	muassasalarining	E-ORG	institutions'	
Sentence 8	o‘quv	O	educational	
Sentence 8	laboratoriya	O	laboratory	
Sentence 8	bazasiga	O	base	
Sentence 8	qo‘yilgan	O	set	
Sentence 8	talablar	O	requirements	
Sentence 8	ta’lim	O	education	
Sentence 8	dasturlariga	O	programs	
Sentence 8	ilmiy	O	scientific	
Sentence 8	laboratoriyalar	O	laboratories	
Sentence 8	iqtisodiyot	O	economy	
Sentence 8	soha	O	sector	
Sentence 8	va	O	and	
Sentence 8	tarmoqlaridagi	O	branches'	
Sentence 8	texnologik	O	technological	
Sentence 8	jarayonlarga	O	processes	
Sentence 8	moslashtiriladi	O	adapt	
Sentence 9	Xorazm	B-LOC	Khorezm	
Sentence 9	viloyatidagi	E-LOC	region's	
Sentence 9	Professorlar	S-PER	Professors'	
Sentence 9	yuklamasi	O	workload	
Sentence 9	o‘quv	O	educational	
Sentence 9	va	O	and	
Sentence 9	ilmiy	O	scientific	
Sentence 9	faoliyatga	O	activities	
Sentence 9	o‘quv	O	educational	
Sentence 9	jarayonlari	O	processes	
Sentence 9	esa	O	also	
Sentence 9	talabalarda	S-PER	students'	
Sentence 9	mustaqil	O	independent	
Sentence 9	ta’lim	O	learning	
Sentence 9	olish	O	skills	
Sentence 9	ko‘nikmasini	O	development	
Sentence 9	rivojlantirishga	O	will	
Sentence 9	yo‘naltiriladi	O	directed	
Sentence 10	Qashqadaryo	B-LOC	Kashkadarya	
Sentence 10	viloyatidagi	E-LOC	region's	
Sentence 10	Oliy	B-ORG	Higher	
Sentence 10	ta’lim	I-ORG	education	
Sentence 10	fan	I-ORG	science	
Sentence 10	va	I-ORG	and	
Sentence 10	innovatsiyalar	I-ORG	innovations	
Sentence 10	vazirligining	E-ORG	ministry's	
Sentence 10	o‘rta	O	secondary	
Sentence 10	maxsus	O	specialized	
Sentence 10	professional	O	professional	
Sentence 10	oliy	O	higher	
Sentence 10	va	O	and	
Sentence 10	oliy	O	higher	
Sentence 10	ta’limdan	O	post	
Sentence 10	keyingi	O	graduate	
Sentence 10	ta’limni	O	education	
Sentence 10	shuningdek	O	and	
Sentence 10	kadrlar	O	personnel	
Sentence 10	malakasini	O	qualifications	
Sentence 10	oshirish	O	improvement	
Sentence 10	va	O	and	
Sentence 10	ularni	O	their	
Sentence 10	qayta	O	retraining	
Sentence 10	tayyorlashni	O	training	
Sentence 10	amalga	O	implementing	
Sentence 10	oshiruvchi	O	perfoming	
Sentence 10	davlat	S-LOC	state	
Sentence 10	va	O	and	
Sentence 10	nodavlat	O	non-state	
Sentence 10	ta’lim	B-ORG	education	
Sentence 10	muassasalarining	E-ORG	institutions'	
Sentence 10	keyingi	O	further	
Sentence 10	o‘rinlarda	O	following	
Sentence 10	ta’lim	B-ORG	education	
Sentence 10	muassasalari	E-ORG	institutions	
Sentence 10	tashqi	O	external	
Sentence 10	baholashning	O	assessment's	
Sentence 10	quyidagi	O	following	
Sentence 10	yangi	O	new	
Sentence 10	tizimini	O	system	
Sentence 10	joriy	O	current	
Sentence 10	etish	O	implementation	
Sentence 10	to‘g‘risidagi	O	about	
Sentence 10	taklifi	O	proposal	
Sentence 10	ma’qullansin	O	approved	
Sentence 10	unga	O	it	
Sentence 10	muvofiq	O	accordingly	
Sentence 10	ta’lim	B-ORG	education	
Sentence 10	muassasalarini	E-ORG	institution	
Sentence 10	attestatsiyadan	O	attestation	
Sentence 10	va	O	and	
Sentence 10	davlat	S-LOC	state	
Sentence 10	akkreditatsiyasidan	O	accreditation	
Sentence 10	o‘tkazish	O	perfoming	
Sentence 10	tartibi	O	rules	
Sentence 10	bekor	O	reject	
Sentence 10	qilinib	O	is	
Sentence 10	kompleks	O	complex	
Sentence 10	va	O	and	
Sentence 10	maxsus	O	special	
Sentence 10	davlat	S-LOC	state	
Sentence 10	akkreditatsiyasidan	O	accreditation	
Sentence 10	o‘tkazish	O	perfoming	
Sentence 10	tizimi	O	system	
Sentence 10	joriy	O	current	
