Sentence	TokenOrder	Token	NER_Tag	pos
1	1	Lola	B-PER	NER
1	2	va	O	C
1	3	Diyor	B-PER	NER
1	4	birgalikda	O	RR
1	5	,	O	PUNCT
1	6	Toshkent	B-LOC	NER
1	7	hamda	O	C
1	8	Zarafshonga	B-LOC	NER
1	9	borishdi	O	VB
1	10	.	O	PUNCT
2	1	“	O	PUNCT
2	2	Asaka	B-ORG	NER
2	3	”	O	PUNCT
2	4	bank	B-ORG	N
2	5	,	O	PUNCT
2	6	BMT	B-ORG	NER
2	7	,	O	PUNCT
2	8	SamISI	B-ORG	N
2	9	kabi	O	II
2	10	tashkilotlarga	O	N
2	11	Toshkent	B-LOC	NER
2	12	xalqaro	I-LOC	JJ
2	13	aeroporti	I-LOC	N
2	14	kabi	O	II
2	15	binolar	O	N
2	16	zarur	O	MD
2	17	!	O	PUNCT
3	1	“	O	PUNCT
3	2	O‘tkan	B-WORK	NER
3	3	kunlar	I-WORK	NER
3	4	”	O	PUNCT
3	5	asari	O	N
3	6	,	O	PUNCT
3	7	“	O	PUNCT
3	8	Oqqushlar	B-WORK	NER
3	9	”	O	PUNCT
3	10	kompozitsiyasi	O	N
3	11	kabi	O	II
3	12	asarlar	O	N
3	13	2025-05-03 00:00:00	B-TEMPORAL	N
3	14	kuni	O	N
3	15	yozildi	O	VB
3	16	.	O	PUNCT
4	1	Soat	O	NER
4	2	10:45:00	B-TEMPORAL	NER
4	3	da	I-TEMPORAL	NER
4	4	0.5	B-NUMERIC	N
4	5	skidkada	O	N
4	6	1000	B-MONEY	NUM
4	7	so‘m	I-MONEY	N
4	8	va	O	C
4	9	500	B-MONEY	NUM
4	10	tejaldi	O	VB
4	11	.	O	PUNCT
5	1	Kollektiv	O	N
5	2	dastakni	O	N
5	3	ko‘targanda	O	VB
5	4	,	O	PUNCT
5	5	vertolyot	O	N
5	6	tezlik	O	N
5	7	bilan	O	II
5	8	yuqoriga	O	RR
5	9	ko‘tarildi	O	VB
5	10	.	O	PUNCT
6	1	Uchuvchi	O	N
6	2	kuzatuv	O	N
6	3	derazasi	O	N
6	4	orqali	O	II
6	5	pastdagi	O	JJ
6	6	daryoni	O	N
6	7	kuzatdi	O	VB
6	8	.	O	PUNCT
7	1	Harbiy	O	JJ
7	2	vertolyot	O	N
7	3	o‘rindiqlari	O	N
7	4	metall	O	N
7	5	ramkali	O	N
7	6	va	O	C
7	7	mustahkam	O	JJ
7	8	.	O	PUNCT
8	1	Texniklar	O	N
8	2	orqa	O	RR
8	3	nuridagi	O	N
8	4	payvandlarni	O	N
8	5	tekshirishdi	O	VB
8	6	.	O	PUNCT
9	1	Orqa	O	RR
9	2	rotor	O	N
9	3	nosoz	O	JJ
9	4	bo‘lsa	O	VB
9	5	,	O	PUNCT
9	6	vertolyot	O	N
9	7	yo‘nalishni	O	N
9	8	boshqara	O	VB
9	9	olmaydi	O	VB
9	10	.	O	PUNCT
10	1	Qoraqalpog‘istonda	B-LOC	IB
10	2	yo‘lovchi	O	IB
10	3	poyezd	O	IB
10	4	yuk	O	IB
10	5	mashinasi	O	IB
10	6	bilan	O	IB
10	7	to‘qnashdi	O	IB
10	8	.	O	PUNCT
