model,params,context,why,uzbek_coverage,vram_bf16_gb,vram_awq_int4_gb,verdict
Qwen/Qwen3-8B,8.19B,32k+,"сильнейший мультиязычный инструкт ≤10B, стабильный JSON, thinking-режим можно выключить","косвенное (широкий мультиязычный корпус), узбекский не в списке заявленных",~16.4,~5.5,ГЛАВНЫЙ КАНДИДАТ №1
Qwen/Qwen3.5-9B,9.65B,32k+,"новее Qwen3-8B, 12.6M загрузок — на грани лимита (9.65B < 10B)",то же,~19.3,~6.2,"КАНДИДАТ №2, проверить лимит по факту"
CohereLabs/aya-expanse-8b,8.03B,8k,"единственный из шортлиста с ЯВНОЙ мультиязычной специализацией (23 языка, включая тюркский turkish); Aya-корпус собирался с упором на низкоресурсные","tr в списке; uz — нет, но ближайший родственник есть",~16.1,~5.4,КАНДИДАТ №3 — лучший шанс на узбекский
google/gemma-3-12b-it,12B,128k,НЕ ПОДХОДИТ — превышает лимит 10B,-,~24,~7.5,ИСКЛЮЧИТЬ по лимиту
google/gemma-3-4b-it,4B,128k,"дешёвый, длинный контекст; для узбекского слабоват, но полезен как нижняя граница",заявлено 140+ языков,~8,~3,КОНТРОЛЬ (нижняя граница)
mistralai/Ministral-3-8B-Instruct-2512,8B,128k,"свежий, хороший instruction-following, длинный контекст",европоцентричный,~16,~5.4,КАНДИДАТ №4
utter-project/EuroLLM-9B-Instruct,9B,4k,"НЕ БРАТЬ — европейские языки, узбекского нет в цели",нет,~18,~6,ИСКЛЮЧИТЬ по языку
Qwen/Qwen3-4B-Instruct-2507,4B,32k+,если 8B не влезает в вашу карту — лучший из 4B,то же семейство,~8,~3,FALLBACK по VRAM
urchade/gliner_multi-v2.1,~0.3B,512 tok,"НЕ LLM, а span-экстрактор: сразу отдаёт символьные спаны, zero-shot по произвольным типам",мультиязычный DeBERTa,~0.7,-,ОБЯЗАТЕЛЬНО в сравнение — прямой конкурент LLM
fastino/gliner2-multi-v1,~0.3B,512 tok,новее GLiNER v1,мультиязычный,~0.7,-,ОБЯЗАТЕЛЬНО в сравнение
